 0.1

1.560483e+18, 1.108888e+18, 8.888694e+17, 7.430614e+17, 6.355386e+17, 5.881507e+17, 5.197465e+17, 4.557968e+17, 4.284874e+17, 3.945626e+17, 3.767274e+17, 3.559704e+17, 3.039981e+17, 2.936897e+17, 2.725110e+17, 2.602825e+17, 2.566075e+17, 2.335621e+17, 2.218474e+17, 2.069458e+17, 1.827521e+17, 1.596880e+17, 1.724152e+17, 1.541505e+17, 1.476825e+17, 1.462017e+17, 1.483742e+17, 1.480775e+17, 1.249139e+17, 1.099327e+17, 1.098893e+17, 1.113129e+17, 1.042121e+17, 1.156413e+17, 1.168334e+17, 1.080062e+17, 9.542054e+16, 1.058212e+17, 9.813041e+16, 9.183345e+16, 9.122461e+16, 9.252348e+16, 8.158042e+16, 8.047806e+16, 7.855469e+16, 7.262537e+16, 7.048138e+16, 6.844803e+16, 5.691529e+16, 6.064261e+16, 6.508291e+16, 6.394411e+16, 5.794760e+16, 5.589870e+16, 4.885340e+16, 5.426647e+16, 5.979362e+16, 5.505833e+16, 4.841554e+16, 4.744925e+16, 5.163239e+16, 4.569776e+16, 5.164103e+16, 6.013388e+16, 5.274740e+16, 4.594179e+16, 3.958524e+16, 4.004712e+16, 3.924476e+16, 3.971196e+16, 3.457205e+16, 3.445207e+16, 3.903239e+16, 4.019663e+16, 3.940518e+16, 3.510116e+16, 3.193032e+16, 3.390482e+16, 3.463166e+16, 3.680246e+16, 3.648347e+16, 3.536640e+16, 2.733698e+16, 2.823431e+16, 2.833568e+16, 2.821825e+16, 2.585453e+16, 2.591097e+16, 2.850054e+16, 3.151713e+16, 2.808923e+16, 2.831999e+16, 3.099908e+16, 2.433437e+16, 2.731340e+16, 2.211058e+16, 1.884998e+16, 2.347459e+16, 2.512704e+16, 2.330687e+16, 

6.719571e-03, 3.468788e-03, 3.107874e-03, 2.940199e-03, 2.839229e-03, 2.763863e-03, 2.702540e-03, 2.649149e-03, 2.601974e-03, 2.562373e-03, 2.560633e-03, 2.574373e-03, 2.555117e-03, 2.540445e-03, 2.525495e-03, 2.508436e-03, 2.492300e-03, 2.476122e-03, 2.459636e-03, 2.445762e-03, 2.424349e-03, 2.398826e-03, 2.368569e-03, 2.332613e-03, 2.288667e-03, 2.237093e-03, 2.176833e-03, 2.108020e-03, 2.031877e-03, 1.949934e-03, 1.864787e-03, 1.778090e-03, 1.691137e-03, 1.605871e-03, 1.523506e-03, 1.444328e-03, 1.369024e-03, 1.298565e-03, 1.232476e-03, 1.170111e-03, 1.112034e-03, 1.057458e-03, 1.006144e-03, 9.581165e-04, 9.132454e-04, 8.710620e-04, 8.316991e-04, 7.945066e-04, 7.594644e-04, 7.266440e-04, 6.955970e-04, 6.662342e-04, 6.384400e-04, 6.123501e-04, 5.874005e-04, 5.639493e-04, 5.416790e-04, 5.201903e-04, 4.999568e-04, 4.810494e-04, 4.630820e-04, 4.457235e-04, 4.291372e-04, 4.134967e-04, 3.982827e-04, 3.838528e-04, 3.701918e-04, 3.571966e-04, 3.448541e-04, 3.329528e-04, 3.217089e-04, 3.107034e-04, 3.004288e-04, 2.904797e-04, 2.809267e-04, 2.717719e-04, 2.629602e-04, 2.545392e-04, 2.464500e-04, 2.386867e-04, 2.311656e-04, 2.240725e-04, 2.172044e-04, 2.106724e-04, 2.044413e-04, 1.984404e-04, 1.925740e-04, 1.869384e-04, 1.815523e-04, 1.763746e-04, 1.713199e-04, 1.664751e-04, 1.618561e-04, 1.572726e-04, 1.529504e-04, 1.487964e-04, 1.447710e-04, 1.409029e-04, 1.371237e-04, 1.334928e-04, 

5.692041e+19, 1.230502e+20, 1.269940e+20, 8.118183e+19, 3.489388e+19, 6.606815e+18, 3.494602e+17, 3.424905e+15, 
2.690306e+20, 1.239020e+20, 3.106403e+19, 5.285922e+18, 6.759108e+17, 3.951396e+16, 2.038166e+15, 1.761163e+13, 
3.313609e+20, 8.527315e+19, 1.209717e+19, 1.179515e+18, 8.627738e+16, 2.851704e+15, 1.403483e+14, 1.134849e+12, 
3.618688e+20, 6.185329e+19, 5.871992e+18, 3.864129e+17, 1.905131e+16, 4.226710e+14, 1.957451e+13, 1.488332e+11, 
3.796621e+20, 4.693612e+19, 3.240049e+18, 1.560398e+17, 5.625549e+15, 9.120703e+13, 3.945004e+12, 2.822549e+10, 
3.911306e+20, 3.684872e+19, 1.946530e+18, 7.211096e+16, 1.998592e+15, 2.493006e+13, 1.007172e+12, 6.797625e+09, 
3.990312e+20, 2.968864e+19, 1.242714e+18, 3.663933e+16, 8.077755e+14, 8.026803e+12, 3.031691e+11, 1.949303e+09, 
4.047361e+20, 2.441276e+19, 8.307748e+17, 1.998864e+16, 3.594652e+14, 2.918608e+12, 1.033996e+11, 6.341145e+08, 
4.089988e+20, 2.041328e+19, 5.761983e+17, 1.153726e+16, 1.725963e+14, 1.167896e+12, 3.886531e+10, 2.268176e+08, 
4.122720e+20, 1.730909e+19, 4.118512e+17, 6.971877e+15, 8.814632e+13, 5.050690e+11, 1.575993e+10, 8.730478e+07, 
4.148470e+20, 1.484686e+19, 3.016910e+17, 4.373103e+15, 4.732700e+13, 2.325681e+11, 6.821987e+09, 3.602031e+07, 
4.169140e+20, 1.285760e+19, 2.255132e+17, 2.828372e+15, 2.647541e+13, 1.127431e+11, 3.110957e+09, 1.568899e+07, 
4.185967e+20, 1.122982e+19, 1.715902e+17, 1.878992e+15, 1.535182e+13, 5.716443e+10, 1.485026e+09, 7.139990e+06, 
4.199823e+20, 9.883738e+18, 1.326617e+17, 1.278740e+15, 9.193363e+12, 3.017370e+10, 7.414979e+08, 3.406210e+06, 
4.211410e+20, 8.754231e+18, 1.039154e+17, 8.875360e+14, 5.652061e+12, 1.645954e+10, 3.819467e+08, 1.683202e+06, 
4.221194e+20, 7.797585e+18, 8.234763e+16, 6.268493e+14, 3.556745e+12, 9.243387e+09, 2.027211e+08, 8.580823e+05, 
4.229512e+20, 6.982376e+18, 6.596906e+16, 4.500159e+14, 2.287484e+12, 5.333847e+09, 1.106871e+08, 4.488834e+05, 
4.236654e+20, 6.280935e+18, 5.334270e+16, 3.276129e+14, 1.498862e+12, 3.150280e+09, 6.187320e+07, 2.408609e+05, 
4.242827e+20, 5.673515e+18, 4.350044e+16, 2.415555e+14, 9.989102e+11, 1.900346e+09, 3.535008e+07, 1.319612e+05, 
4.248196e+20, 5.144469e+18, 3.575149e+16, 1.801976e+14, 6.761706e+11, 1.168785e+09, 2.064796e+07, 7.392352e+04, 
4.252891e+20, 4.681123e+18, 2.959250e+16, 1.358625e+14, 4.642399e+11, 7.316697e+08, 1.226314e+07, 4.218074e+04, 
4.257020e+20, 4.273199e+18, 2.465449e+16, 1.034396e+14, 3.229023e+11, 4.655089e+08, 7.405015e+06, 2.458804e+04, 
4.260651e+20, 3.914094e+18, 2.068214e+16, 7.956981e+13, 2.276986e+11, 3.012684e+08, 4.560510e+06, 1.461334e+04, 
4.263876e+20, 3.594879e+18, 1.744482e+16, 6.170855e+13, 1.623173e+11, 1.976304e+08, 2.842858e+06, 8.765475e+03, 
