 0.1

1.808932e+18, 1.373098e+18, 1.087676e+18, 9.065262e+17, 7.834109e+17, 7.303038e+17, 6.517371e+17, 5.760592e+17, 5.439286e+17, 5.019026e+17, 4.814483e+17, 4.567937e+17, 3.923825e+17, 3.813508e+17, 3.590479e+17, 3.448225e+17, 3.388302e+17, 3.130588e+17, 3.011556e+17, 2.802286e+17, 2.527650e+17, 2.218194e+17, 2.372659e+17, 2.170860e+17, 2.080399e+17, 2.066289e+17, 2.101692e+17, 2.089398e+17, 1.816245e+17, 1.603493e+17, 1.598763e+17, 1.625100e+17, 1.555609e+17, 1.672454e+17, 1.705419e+17, 1.605891e+17, 1.430894e+17, 1.547537e+17, 1.459081e+17, 1.384866e+17, 1.375252e+17, 1.401192e+17, 1.244370e+17, 1.234603e+17, 1.203891e+17, 1.103156e+17, 1.088684e+17, 1.066691e+17, 9.150388e+16, 9.475683e+16, 9.988584e+16, 9.848982e+16, 9.001046e+16, 8.871569e+16, 8.010207e+16, 8.738673e+16, 9.334753e+16, 8.622841e+16, 7.461765e+16, 7.503550e+16, 8.203160e+16, 7.623981e+16, 8.150952e+16, 9.161427e+16, 8.199934e+16, 7.374768e+16, 6.488260e+16, 6.588040e+16, 6.516117e+16, 6.593736e+16, 6.069820e+16, 5.853916e+16, 6.370374e+16, 6.542472e+16, 6.387015e+16, 5.993357e+16, 5.531732e+16, 5.800430e+16, 5.868119e+16, 5.973369e+16, 5.831390e+16, 5.759483e+16, 4.714165e+16, 4.751340e+16, 4.800813e+16, 4.860871e+16, 4.583656e+16, 4.471616e+16, 4.766448e+16, 5.207784e+16, 4.562306e+16, 4.705420e+16, 5.141318e+16, 4.182627e+16, 4.483140e+16, 3.925543e+16, 3.548060e+16, 4.109351e+16, 4.206352e+16, 4.016412e+16, 

1.465393e-02, 5.877199e-03, 4.295793e-03, 3.811023e-03, 3.563383e-03, 3.401101e-03, 3.281473e-03, 3.181344e-03, 3.092851e-03, 3.018821e-03, 3.002800e-03, 3.021156e-03, 2.990672e-03, 2.967409e-03, 2.945551e-03, 2.921191e-03, 2.900052e-03, 2.880412e-03, 2.863195e-03, 2.853592e-03, 2.836644e-03, 2.819522e-03, 2.802813e-03, 2.788026e-03, 2.772241e-03, 2.757773e-03, 2.742856e-03, 2.727493e-03, 2.712150e-03, 2.695160e-03, 2.677420e-03, 2.658791e-03, 2.639550e-03, 2.618697e-03, 2.596410e-03, 2.571702e-03, 2.544425e-03, 2.514144e-03, 2.481702e-03, 2.445736e-03, 2.406317e-03, 2.363303e-03, 2.316816e-03, 2.266939e-03, 2.214710e-03, 2.159544e-03, 2.113932e-03, 2.056613e-03, 1.995689e-03, 1.934313e-03, 1.874958e-03, 1.813599e-03, 1.752698e-03, 1.693475e-03, 1.634881e-03, 1.578248e-03, 1.523390e-03, 1.469705e-03, 1.418330e-03, 1.369773e-03, 1.323241e-03, 1.277725e-03, 1.233823e-03, 1.192402e-03, 1.151945e-03, 1.113401e-03, 1.076695e-03, 1.041575e-03, 1.008145e-03, 9.756666e-04, 9.448864e-04, 9.146196e-04, 8.863351e-04, 8.588643e-04, 8.323294e-04, 8.069026e-04, 7.823640e-04, 7.588235e-04, 7.360775e-04, 7.143157e-04, 6.931757e-04, 6.731864e-04, 6.537286e-04, 6.350855e-04, 6.172935e-04, 6.001231e-04, 5.832935e-04, 5.670728e-04, 5.515840e-04, 5.365875e-04, 5.219345e-04, 5.078872e-04, 4.943877e-04, 4.810103e-04, 4.683050e-04, 4.561193e-04, 4.442528e-04, 4.327768e-04, 4.215369e-04, 4.107918e-04, 

7.375866e+17, 6.887214e+18, 2.666781e+19, 5.638804e+19, 1.093193e+20, 
5.769889e+19, 7.315514e+19, 4.442691e+19, 1.825200e+19, 6.467056e+18, 
1.076926e+20, 6.548827e+19, 2.122261e+19, 4.735155e+18, 8.613302e+17, 
1.333010e+20, 5.329346e+19, 1.149633e+19, 1.708105e+18, 2.011291e+17, 
1.492395e+20, 4.316184e+19, 6.798072e+18, 7.379010e+17, 6.268803e+16, 
1.599293e+20, 3.539041e+19, 4.297048e+18, 3.597859e+17, 2.344126e+16, 
1.674971e+20, 2.944376e+19, 2.857816e+18, 1.913880e+17, 9.948494e+15, 
1.730786e+20, 2.483045e+19, 1.977620e+18, 1.087341e+17, 4.637023e+15, 
1.773200e+20, 2.119886e+19, 1.413713e+18, 6.511502e+16, 2.326931e+15, 
1.806218e+20, 1.829786e+19, 1.038411e+18, 4.071942e+16, 1.239905e+15, 
1.832520e+20, 1.594113e+19, 7.798476e+17, 2.637144e+16, 6.933921e+14, 
1.853868e+20, 1.399864e+19, 5.965484e+17, 1.757895e+16, 4.033864e+14, 
1.871412e+20, 1.238263e+19, 4.638849e+17, 1.202095e+16, 2.429679e+14, 
1.885998e+20, 1.102562e+19, 3.660450e+17, 8.408564e+15, 1.509280e+14, 
1.898298e+20, 9.871783e+18, 2.923575e+17, 5.992471e+15, 9.614668e+13, 
1.908773e+20, 8.882322e+18, 2.360066e+17, 4.341137e+15, 6.261785e+13, 
1.917746e+20, 8.029732e+18, 1.924458e+17, 3.193718e+15, 4.163713e+13, 
1.925508e+20, 7.288499e+18, 1.582848e+17, 2.380752e+15, 2.818100e+13, 
1.932265e+20, 6.640467e+18, 1.312177e+17, 1.796166e+15, 1.938311e+13, 
1.938186e+20, 6.070446e+18, 1.095522e+17, 1.369805e+15, 1.352641e+13, 
1.943394e+20, 5.567491e+18, 9.208698e+16, 1.055478e+15, 9.570229e+12, 
1.948005e+20, 5.120804e+18, 7.786718e+16, 8.206361e+14, 6.853313e+12, 
1.952088e+20, 4.724335e+18, 6.625998e+16, 6.441722e+14, 4.970973e+12, 
1.955731e+20, 4.369663e+18, 5.667764e+16, 5.096562e+14, 3.643534e+12, 
1.959014e+20, 4.049478e+18, 4.867575e+16, 4.056809e+14, 2.692266e+12, 
1.961956e+20, 3.762022e+18, 4.201523e+16, 3.253901e+14, 2.009697e+12, 
1.964618e+20, 3.501573e+18, 3.640664e+16, 2.625178e+14, 1.511915e+12, 
1.967030e+20, 3.265167e+18, 3.166484e+16, 2.129902e+14, 1.145933e+12, 
1.969225e+20, 3.049729e+18, 2.763299e+16, 1.736810e+14, 8.743907e+11, 
1.971226e+20, 2.853059e+18, 2.419356e+16, 1.423267e+14, 6.716286e+11, 
1.973045e+20, 2.674118e+18, 2.126377e+16, 1.173092e+14, 5.198891e+11, 
1.974709e+20, 2.510255e+18, 1.874713e+16, 9.714373e+13, 4.049541e+11, 
1.976237e+20, 2.359601e+18, 1.657275e+16, 8.077004e+13, 3.170981e+11, 
1.977645e+20, 2.220717e+18, 1.468698e+16, 6.740701e+13, 2.495345e+11, 
1.978940e+20, 2.092849e+18, 1.305144e+16, 5.648664e+13, 1.974400e+11, 
1.980144e+20, 1.973967e+18, 1.161734e+16, 4.745375e+13, 1.567395e+11, 
1.981259e+20, 1.863731e+18, 1.036182e+16, 3.998693e+13, 1.249276e+11, 
1.982286e+20, 1.762069e+18, 9.267688e+15, 3.383583e+13, 1.001292e+11, 
1.983236e+20, 1.668097e+18, 8.310405e+15, 2.874160e+13, 8.066171e+10, 
